classifier,In taxon,Group,ratio,dataset
rspc_R100,201666983,F,0.3287953949943533,strain
rspc_R100,260395336,G,0.4245453870592557,strain
rspc_R100,19497274,H,0.03178811826695069,strain
rspc_R100,130223723,S,0.21231517328456412,strain
rspc_R100,1567680,U,0.0025559263948761895,strain
rspc_R10,203675887,F,0.3320706876295673,strain
rspc_R10,303727531,G,0.4951936704770591,strain
rspc_R10,23744488,H,0.03871272428813338,strain
rspc_R10,80711312,S,0.1315907409075113,strain
rspc_R10,1491778,U,0.002432176697728881,strain
rspc_R1,203233868,F,0.33135002523090384,strain
rspc_R1,325048522,G,0.5299551547479675,strain
rspc_R1,40432082,H,0.0659199744741264,strain
rspc_R1,43183218,S,0.07040539312990697,strain
rspc_R1,1453306,U,0.0023694524170952843,strain
rspc_1-step,175601630,F,0.2862987606528644,strain
rspc_1-step,300765536,G,0.4903644698736252,strain
rspc_1-step,101947121,H,0.16621334548220087,strain
rspc_1-step,33856075,S,0.05519853268486418,strain
rspc_1-step,1180634,U,0.0019248913064453554,strain
std_R100,203082688,F,0.33110354319861574,strain
std_R100,176784566,G,0.2882274051120967,strain
std_R100,9801645,H,0.01598048273162012,strain
std_R100,217794337,S,0.3550892367019161,strain
std_R100,5887760,U,0.009599332255751322,strain
std_R10,201753535,F,0.3289365083219006,strain
std_R10,213917752,G,0.348768899692143,strain
std_R10,12722638,H,0.02074283417320806,strain
std_R10,179104505,S,0.2920098054263207,strain
std_R10,5852566,U,0.00954195238642769,strain
std_R1,200727770,F,0.3272641135484518,strain
std_R1,216668837,G,0.3532542351981442,strain
std_R1,15828368,H,0.0258063785715284,strain
std_R1,174299476,S,0.28417574461719797,strain
std_R1,5826545,U,0.009499528064677668,strain
std_1-step,196200710,F,0.3198832500143197,strain
std_1-step,240511011,G,0.39212622555193505,strain
std_1-step,29144582,H,0.04751697183190031,strain
std_1-step,141778325,S,0.23115365577722155,strain
std_1-step,5716368,U,0.0093198968246234,strain
rspc_R100,1205136,F,0.008564576870946321,marine
rspc_R100,21351572,G,0.15173986978195414,marine
rspc_R100,564713,H,0.004013263149157198,marine
rspc_R100,111602937,S,0.7931320058150112,marine
rspc_R100,5987322,U,0.04255028438293111,marine
rspc_R10,1313664,F,0.009335856127934795,marine
rspc_R10,30119906,G,0.21405405720406437,marine
rspc_R10,790172,H,0.005615539520244517,marine
rspc_R10,102638915,S,0.729427116498076,marine
rspc_R10,5849023,U,0.041567430649680256,marine
rspc_R1,1419244,F,0.010086184743157072,marine
rspc_R1,35267491,G,0.2506365569652782,marine
rspc_R1,973074,H,0.006915374757802622,marine
rspc_R1,97366604,S,0.691958222657849,marine
rspc_R1,5685267,U,0.04040366087591307,marine
rspc_1-step,2146780,F,0.015256587086445134,marine
rspc_1-step,38192460,G,0.27142352361936123,marine
rspc_1-step,2338290,H,0.016617597060883647,marine
rspc_1-step,92750116,S,0.6591500861904286,marine
rspc_1-step,5284034,U,0.037552206042881446,marine
std_R100,877334,F,0.006234976371542149,marine
std_R100,9593541,G,0.06817871124841947,marine
std_R100,529010,H,0.0037595315470613385,marine
std_R100,118552607,S,0.8425214381634843,marine
std_R100,11159188,U,0.07930534266949268,marine
std_R10,946242,F,0.006724686962731168,marine
std_R10,13019968,G,0.09252940480847077,marine
std_R10,617095,H,0.004385527910689433,marine
std_R10,115070945,S,0.8177782043395403,marine
std_R10,11057430,U,0.07858217597856837,marine
std_R1,998199,F,0.007093931363764543,marine
std_R1,14507282,G,0.10309934470258617,marine
std_R1,689014,H,0.004896636867671539,marine
std_R1,113539920,S,0.8068976221447999,marine
std_R1,10977265,U,0.07801246492117783,marine
std_1-step,1147132,F,0.00815235807006213,marine
std_1-step,16532683,G,0.11749332393728794,marine
std_1-step,1157453,H,0.008225706636435582,marine
std_1-step,111109648,S,0.7896263337911963,marine
std_1-step,10764764,U,0.07650227756501805,marine
rspc_R100,1548808,F,0.006080364311186083,plant_associated
rspc_R100,118484722,G,0.4651514423153835,plant_associated
rspc_R100,1354630,H,0.0053180535656207895,plant_associated
rspc_R100,104330725,S,0.4095851886419554,plant_associated
rspc_R100,29004010,U,0.11386495116585417,plant_associated
rspc_R10,2054049,F,0.00806385700036897,plant_associated
rspc_R10,130125290,G,0.5108503890080238,plant_associated
rspc_R10,1705116,H,0.006694003693700168,plant_associated
rspc_R10,92411745,S,0.36279324243704125,plant_associated
rspc_R10,28426695,U,0.11159850786086582,plant_associated
rspc_R1,2626948,F,0.010312963818976697,plant_associated
rspc_R1,139671836,G,0.5483285513067053,plant_associated
rspc_R1,2284376,H,0.008968082747332155,plant_associated
rspc_R1,82157796,S,0.32253793283874227,plant_associated
rspc_R1,27981939,U,0.1098524692882436,plant_associated
rspc_1-step,4680938,F,0.018376589195093752,plant_associated
rspc_1-step,143157157,G,0.5620113457017674,plant_associated
rspc_1-step,9899578,H,0.0388641076021062,plant_associated
rspc_1-step,70876924,S,0.2782510932124888,plant_associated
rspc_1-step,26108298,U,0.10249686428854383,plant_associated
std_R100,2219518,F,0.008713460955286332,plant_associated
std_R100,110336777,G,0.433163956463356,plant_associated
std_R100,2706256,H,0.010624313923567805,plant_associated
std_R100,61539280,S,0.24159304565064715,plant_associated
std_R100,77921064,U,0.30590522300714273,plant_associated
std_R10,2733360,F,0.010730719749396692,plant_associated
std_R10,112925381,G,0.4433263880735966,plant_associated
std_R10,3754441,H,0.014739315050576823,plant_associated
std_R10,58928810,S,0.23134477173714596,plant_associated
std_R10,76380903,U,0.2998588053892839,plant_associated
std_R1,3093719,F,0.01214542964424144,plant_associated
std_R1,115948473,G,0.45519454778495666,plant_associated
std_R1,5038179,H,0.01977905833710001,plant_associated
std_R1,56515054,S,0.22186876448620765,plant_associated
std_R1,74127470,U,0.29101219974749426,plant_associated
std_1-step,4054779,F,0.015918392416198003,plant_associated
std_1-step,116487158,G,0.4573093360924624,plant_associated
std_1-step,9114918,H,0.03578366208502773,plant_associated
std_1-step,53531593,S,0.21015618953294324,plant_associated
std_1-step,71534447,U,0.28083241987336865,plant_associated
rspc_R100,2656229,F,0.07968881440707153,Assorted_Genomes_mbarc_225
rspc_R100,3409732,G,0.10229445598472603,Assorted_Genomes_mbarc_225
rspc_R100,203374,H,0.006101368873400511,Assorted_Genomes_mbarc_225
rspc_R100,26553134,S,0.7966134573683598,Assorted_Genomes_mbarc_225
rspc_R100,510051,U,0.015301903366442141,Assorted_Genomes_mbarc_225
rspc_R10,2788842,F,0.08366730148215616,Assorted_Genomes_mbarc_225
rspc_R10,5425910,G,0.16278127186303346,Assorted_Genomes_mbarc_225
rspc_R10,205357,H,0.00616086032499193,Assorted_Genomes_mbarc_225
rspc_R10,24569776,S,0.7371112655148786,Assorted_Genomes_mbarc_225
rspc_R10,342635,U,0.010279300814939885,Assorted_Genomes_mbarc_225
rspc_R1,3303901,F,0.09911944851454375,Assorted_Genomes_mbarc_225
rspc_R1,13772861,G,0.4131959119802523,Assorted_Genomes_mbarc_225
rspc_R1,319764,H,0.00959315407295938,Assorted_Genomes_mbarc_225
rspc_R1,15777561,S,0.47333837945645874,Assorted_Genomes_mbarc_225
rspc_R1,158433,U,0.0047531059757858094,Assorted_Genomes_mbarc_225
rspc_1-step,3630885,F,0.10892920787267209,Assorted_Genomes_mbarc_225
rspc_1-step,15419952,G,0.4626098476802834,Assorted_Genomes_mbarc_225
rspc_1-step,2234022,H,0.06702229534400639,Assorted_Genomes_mbarc_225
rspc_1-step,11934889,S,0.35805540655191986,Assorted_Genomes_mbarc_225
rspc_1-step,112772,U,0.0033832425511182472,Assorted_Genomes_mbarc_225
std_R100,2662787,F,0.07988555920764466,Assorted_Genomes_mbarc_225
std_R100,3459242,G,0.10377979222693033,Assorted_Genomes_mbarc_225
std_R100,164147,H,0.004924530158535868,Assorted_Genomes_mbarc_225
std_R100,26716552,S,0.8015161169932546,Assorted_Genomes_mbarc_225
std_R100,329792,U,0.009894001413634492,Assorted_Genomes_mbarc_225
std_R10,2774286,F,0.08323061082690418,Assorted_Genomes_mbarc_225
std_R10,5553029,G,0.16659493491641197,Assorted_Genomes_mbarc_225
std_R10,163449,H,0.004903589647587401,Assorted_Genomes_mbarc_225
std_R10,24650648,S,0.739537484714627,Assorted_Genomes_mbarc_225
std_R10,191108,U,0.005733379894469425,Assorted_Genomes_mbarc_225
std_R1,3147979,F,0.0944416743768548,Assorted_Genomes_mbarc_225
std_R1,9823570,G,0.2947142910287011,Assorted_Genomes_mbarc_225
std_R1,224941,H,0.006748394660829724,Assorted_Genomes_mbarc_225
std_R1,20001534,S,0.6000606614801401,Assorted_Genomes_mbarc_225
std_R1,134496,U,0.004034978453474265,Assorted_Genomes_mbarc_225
std_1-step,3297804,F,0.09893653405143085,Assorted_Genomes_mbarc_225
std_1-step,13108918,G,0.3932771359621175,Assorted_Genomes_mbarc_225
std_1-step,766009,H,0.022980830732269867,Assorted_Genomes_mbarc_225
std_1-step,16031329,S,0.48095160521916736,Assorted_Genomes_mbarc_225
std_1-step,128460,U,0.0038538940350144545,Assorted_Genomes_mbarc_225
